20190107	0000	15
20190107	1000	12
20190107	1100	20
20190107	1200	23
20190107	1600	15
20190107	1900	16
20190107	2200	18
20190107	2400	20
20190107	2600	28
20190107	2900	24
20190107	3000	15
20190107	3300	20
20190107	3600	18
20190107	3900	26
20190107	4200	30
20190107	4500	25
20190107	4900	18
20190107	5200	27
20190107	5500	18
20190107	5800	24
20190107	6100	32
20190107	6400	19
20190107	6500	42
20190107	7000	10
20190107	7300	23
20190107	7700	21
20190107	7900	16
20190107	8200	22
20190107	8500	16
20190107	8700	19
20190107	8800	21
20190107	9000	20
20190107	9100	24
20190107	9200	26
